,NASH_up,diff_w4_up,diff_w8_up,diff_w16_up,diff_w32_up,diff_w48_up
215,NA,NA,Snx12,Cd2ap,Cela2a,NA
216,NA,NA,Spsb4,Cd300e,Cela3b,NA
217,NA,NA,Sri,Cd300lb,Celf5,NA
218,NA,NA,Stk24,Cd36,Cers5,NA
219,NA,NA,Stx2,Cd3eap,Ces2a,NA
220,NA,NA,Stxbp1,Cd44,Ces2c,NA
221,NA,NA,Sult2a2,Cd53,Ces2j,NA
222,NA,NA,Sult2a6,Cd55,Cfap52,NA
223,NA,NA,Sult2b1,Cd63,Cftr,NA
224,NA,NA,Svil,Cd84,Cgref1,NA
225,NA,NA,Tcea3,Cd8a,Ch25h,NA
226,NA,NA,Tcf7l1,Cd8b,Chi3l1,NA
227,NA,NA,Tex36,Cd9,Chp2,NA
228,NA,NA,Tf,Cd93,Chpf,NA
229,NA,NA,Tgm2,Cdc25a,Chrm3,NA
230,NA,NA,Thbs4,Cdc42ep1,Chst1,NA
231,NA,NA,Tjp3,Cdc42ep2,Chst9,NA
232,NA,NA,Tk1,Cdc42ep5,Cidea,NA
233,NA,NA,Tkfc,Cdc42se1,Cited1,NA
234,NA,NA,Tkt,Cdc42se2,Clca2,NA
235,NA,NA,Tmcc3,Cdc7,Clca4,NA
236,NA,NA,Tmem252,Cdca2,Clca4l,NA
237,NA,NA,Tmem97,Cdca7,Clcf1,NA
238,NA,NA,Tmie,Cdca8,Cldn4,NA
239,NA,NA,Tp53i3,Cdh13,Cldn5,NA
240,NA,NA,Trpm2,Cdh3,Cldn6,NA
241,NA,NA,Tsc22d1,Cdk14,Cldn7,NA
242,NA,NA,Tyms,Cdk6,Cldn8,NA
243,NA,NA,Unc5c,Cdkl2,Clec4e,NA
244,NA,NA,Unc5cl,Cdkl3,Clec5a,NA
245,NA,NA,Usp29,Cdkn2b,Clec7a,NA
246,NA,NA,Ykt6,Cdkn3,Clic1,NA
247,NA,NA,Ypel2,Cdr2,Clic5,NA
248,NA,NA,Zdhhc2,Cdt1,Clip2,NA
249,NA,NA,NA,Cdyl2,Clstn2,NA
250,NA,NA,NA,Cebpb,Cnksr1,NA
251,NA,NA,NA,Cebpd,Cnn1,NA
252,NA,NA,NA,Cenpi,Cnp,NA
253,NA,NA,NA,Cenpn,Cntnap1,NA
254,NA,NA,NA,Cep55,Col15a1,NA
255,NA,NA,NA,Cep76,Col16a1,NA
256,NA,NA,NA,Cerk,Col4a1,NA
257,NA,NA,NA,Ces2c,Col5a1,NA
258,NA,NA,NA,Ces4a,Col5a2,NA
259,NA,NA,NA,Cfap52,Col5a3,NA
260,NA,NA,NA,Cfl1,Col8a1,NA
261,NA,NA,NA,Cftr,Colec12,NA
262,NA,NA,NA,Cgref1,Coprs,NA
263,NA,NA,NA,Ch25h,Coro1a,NA
264,NA,NA,NA,Chac1,Coro1c,NA
265,NA,NA,NA,Chchd4,Coro2a,NA
266,NA,NA,NA,Chi3l1,Coro6,NA
267,NA,NA,NA,Chka,Cotl1,NA
268,NA,NA,NA,Chrna2,Cpa1,NA
269,NA,NA,NA,Chrnb1,Cpa2,NA
270,NA,NA,NA,Chst1,Cpa6,NA
271,NA,NA,NA,Chst12,Cpb1,NA
272,NA,NA,NA,Chst14,Cpe,NA
273,NA,NA,NA,Cidea,Cpne2,NA
274,NA,NA,NA,Cidec,Cpne7,NA
275,NA,NA,NA,Ckap2,Cr2,NA
276,NA,NA,NA,Ckap4,Creb3l4,NA
277,NA,NA,NA,Clca4l,Creb5,NA
278,NA,NA,NA,Clcf1,Crip1,NA
