,NASH_up,diff_w4_up,diff_w8_up,diff_w16_up,diff_w32_up,diff_w48_up
1518,NA,NA,NA,Tm6sf1,NA,NA
1519,NA,NA,NA,Tma16,NA,NA
1520,NA,NA,NA,Tmbim1,NA,NA
1521,NA,NA,NA,Tmcc3,NA,NA
1522,NA,NA,NA,Tmem106a,NA,NA
1523,NA,NA,NA,Tmem119,NA,NA
1524,NA,NA,NA,Tmem120a,NA,NA
1525,NA,NA,NA,Tmem151a,NA,NA
1526,NA,NA,NA,Tmem171,NA,NA
1527,NA,NA,NA,Tmem184b,NA,NA
1528,NA,NA,NA,Tmem2,NA,NA
1529,NA,NA,NA,Tmem237,NA,NA
1530,NA,NA,NA,Tmem243,NA,NA
1531,NA,NA,NA,Tmem252,NA,NA
1532,NA,NA,NA,Tmem26,NA,NA
1533,NA,NA,NA,Tmem41a,NA,NA
1534,NA,NA,NA,Tmem43,NA,NA
1535,NA,NA,NA,Tmem45a,NA,NA
1536,NA,NA,NA,Tmem65,NA,NA
1537,NA,NA,NA,Tmprss2,NA,NA
1538,NA,NA,NA,Tmsb10,NA,NA
1539,NA,NA,NA,Tnc,NA,NA
1540,NA,NA,NA,Tnf,NA,NA
1541,NA,NA,NA,Tnfaip1,NA,NA
1542,NA,NA,NA,Tnfaip6,NA,NA
1543,NA,NA,NA,Tnfaip8,NA,NA
1544,NA,NA,NA,Tnfrsf10b,NA,NA
1545,NA,NA,NA,Tnfrsf11b,NA,NA
1546,NA,NA,NA,Tnfrsf12a,NA,NA
1547,NA,NA,NA,Tnfrsf1b,NA,NA
1548,NA,NA,NA,Tnfrsf21,NA,NA
1549,NA,NA,NA,Tnfrsf8,NA,NA
1550,NA,NA,NA,Tnfrsf9,NA,NA
1551,NA,NA,NA,Tnfsf9,NA,NA
1552,NA,NA,NA,Tnk2,NA,NA
1553,NA,NA,NA,Tns3,NA,NA
1554,NA,NA,NA,Top2a,NA,NA
1555,NA,NA,NA,Tor3a,NA,NA
1556,NA,NA,NA,Tp53,NA,NA
1557,NA,NA,NA,Tp53i3,NA,NA
1558,NA,NA,NA,Tpm1,NA,NA
1559,NA,NA,NA,Tpm3,NA,NA
1560,NA,NA,NA,Tpm4,NA,NA
1561,NA,NA,NA,Tpx2,NA,NA
1562,NA,NA,NA,Traf1,NA,NA
1563,NA,NA,NA,Traf3,NA,NA
1564,NA,NA,NA,Trafd1,NA,NA
1565,NA,NA,NA,Trak2,NA,NA
1566,NA,NA,NA,Trem1,NA,NA
1567,NA,NA,NA,Trem2,NA,NA
1568,NA,NA,NA,Trem3,NA,NA
1569,NA,NA,NA,Trex1,NA,NA
1570,NA,NA,NA,Tril,NA,NA
1571,NA,NA,NA,Trim13,NA,NA
1572,NA,NA,NA,Trim32,NA,NA
1573,NA,NA,NA,Trim35,NA,NA
1574,NA,NA,NA,Trim69,NA,NA
1575,NA,NA,NA,Trip6,NA,NA
1576,NA,NA,NA,Trmt10a,NA,NA
1577,NA,NA,NA,Trmt6,NA,NA
1578,NA,NA,NA,Trmt61a,NA,NA
1579,NA,NA,NA,Trpm4,NA,NA
1580,NA,NA,NA,Trpv2,NA,NA
1581,NA,NA,NA,Trub1,NA,NA
1582,NA,NA,NA,Tsc22d1,NA,NA
1583,NA,NA,NA,Tsc22d2,NA,NA
1584,NA,NA,NA,Tsc22d4,NA,NA
1585,NA,NA,NA,Tshr,NA,NA
1586,NA,NA,NA,Tshz3,NA,NA
1587,NA,NA,NA,Tspan14,NA,NA
1588,NA,NA,NA,Tspan17,NA,NA
1589,NA,NA,NA,Tspan18,NA,NA
1590,NA,NA,NA,Tspan5,NA,NA
1591,NA,NA,NA,Tspo,NA,NA
1592,NA,NA,NA,Tsx,NA,NA
1593,NA,NA,NA,Ttc12,NA,NA
1594,NA,NA,NA,Ttc21b,NA,NA
1595,NA,NA,NA,Ttc25,NA,NA
1596,NA,NA,NA,Ttc26,NA,NA
1597,NA,NA,NA,Ttc3,NA,NA
1598,NA,NA,NA,Ttc39a,NA,NA
1599,NA,NA,NA,Ttk,NA,NA
1600,NA,NA,NA,Ttpal,NA,NA
1601,NA,NA,NA,Tuba1a,NA,NA
1602,NA,NA,NA,Tuba1b,NA,NA
1603,NA,NA,NA,Tuba1c,NA,NA
1604,NA,NA,NA,Tubb2a,NA,NA
1605,NA,NA,NA,Tubb2b,NA,NA
1606,NA,NA,NA,Tubb4b,NA,NA
1607,NA,NA,NA,Tubb5,NA,NA
1608,NA,NA,NA,Tubb6,NA,NA
1609,NA,NA,NA,Tuft1,NA,NA
1610,NA,NA,NA,Tusc3,NA,NA
1611,NA,NA,NA,Twf1,NA,NA
1612,NA,NA,NA,Tyms,NA,NA
1613,NA,NA,NA,Tyro3,NA,NA
1614,NA,NA,NA,Ubald1,NA,NA
1615,NA,NA,NA,Ube2g2,NA,NA
1616,NA,NA,NA,Ube3d,NA,NA
1617,NA,NA,NA,Uck2,NA,NA
1618,NA,NA,NA,Ugcg,NA,NA
1619,NA,NA,NA,Ugt1a2,NA,NA
1620,NA,NA,NA,Uhrf1,NA,NA
1621,NA,NA,NA,Umps,NA,NA
1622,NA,NA,NA,Unc13b,NA,NA
1623,NA,NA,NA,Unc5b,NA,NA
1624,NA,NA,NA,Unc5c,NA,NA
1625,NA,NA,NA,Unc79,NA,NA
1626,NA,NA,NA,Upp1,NA,NA
1627,NA,NA,NA,Usp22,NA,NA
1628,NA,NA,NA,Usp43,NA,NA
1629,NA,NA,NA,Usp46,NA,NA
1630,NA,NA,NA,Uxs1,NA,NA
1631,NA,NA,NA,Vangl1,NA,NA
1632,NA,NA,NA,Vars,NA,NA
1633,NA,NA,NA,Vasp,NA,NA
1634,NA,NA,NA,Vcan,NA,NA
1635,NA,NA,NA,Vcl,NA,NA
1636,NA,NA,NA,Vegfc,NA,NA
1637,NA,NA,NA,Vezt,NA,NA
1638,NA,NA,NA,Vim,NA,NA
1639,NA,NA,NA,Vldlr,NA,NA
1640,NA,NA,NA,Vmp1,NA,NA
1641,NA,NA,NA,Vps36,NA,NA
1642,NA,NA,NA,Vps37c,NA,NA
1643,NA,NA,NA,Vps9d1,NA,NA
1644,NA,NA,NA,Vrk2,NA,NA
1645,NA,NA,NA,Vsig10,NA,NA
1646,NA,NA,NA,Vwa7,NA,NA
1647,NA,NA,NA,Wbscr17,NA,NA
1648,NA,NA,NA,Wdr1,NA,NA
1649,NA,NA,NA,Wdr91,NA,NA
1650,NA,NA,NA,Wfdc21,NA,NA
1651,NA,NA,NA,Wnk2,NA,NA
1652,NA,NA,NA,Wnt7a,NA,NA
1653,NA,NA,NA,Xirp2,NA,NA
1654,NA,NA,NA,Xrcc6bp1,NA,NA
1655,NA,NA,NA,Yars,NA,NA
1656,NA,NA,NA,Ypel2,NA,NA
1657,NA,NA,NA,Ypel4,NA,NA
1658,NA,NA,NA,Ywhag,NA,NA
1659,NA,NA,NA,Ywhah,NA,NA
1660,NA,NA,NA,Zbed3,NA,NA
1661,NA,NA,NA,Zbtb25,NA,NA
1662,NA,NA,NA,Zbtb42,NA,NA
1663,NA,NA,NA,Zc3h12a,NA,NA
1664,NA,NA,NA,Zc3h12c,NA,NA
1665,NA,NA,NA,Zc3h12d,NA,NA
1666,NA,NA,NA,Zcchc12,NA,NA
1667,NA,NA,NA,Zdhhc13,NA,NA
1668,NA,NA,NA,Zdhhc2,NA,NA
1669,NA,NA,NA,Zfand2a,NA,NA
1670,NA,NA,NA,Zfp295,NA,NA
1671,NA,NA,NA,Zfp367,NA,NA
1672,NA,NA,NA,Zfp438,NA,NA
1673,NA,NA,NA,Zfp57,NA,NA
1674,NA,NA,NA,Zfp583,NA,NA
1675,NA,NA,NA,Zfp64,NA,NA
1676,NA,NA,NA,Zfp641,NA,NA
1677,NA,NA,NA,Zfp90,NA,NA
1678,NA,NA,NA,Zfp951,NA,NA
1679,NA,NA,NA,Zfp955a,NA,NA
1680,NA,NA,NA,Zfyve19,NA,NA
1681,NA,NA,NA,Zmat3,NA,NA
1682,NA,NA,NA,Zyx,NA,NA
