HO_up	HO_down	NAFLD_up	NAFLD_down	NASH_up	NASH_down	HF12_up	HF12_down	HF18_up	HF18_down	STZ12_up	STZ12_down	STZ18_up	STZ18_down	MCD4_up	MCD4_down	MCD8_up	MCD8_down	Pten_up	Pten_down	HF30_up	HF30_down	WTD_up	WTD_down
				CCDC82										Mmp12	Ndufs2	Cd53	Adck3			Cox19			
				MIR107										Golm1	Insig2	Hspa9	Agxt			Krt8			
				MAMDC4										Tnfaip1	Snrpd3	Vamp3	Snrpd3			Acy3			
				VAMP1										Slamf9	Ahsa1	Aprt	Ahsa1			Cyp2f2			
				LINC00174										Csrp1	Sephs2	Mrpl12	Sephs2			Apoa4			
				ACSL4										H2-Eb1	Emc9	Sult1e1	Tmem205			Entpd5			
				IP6K3										Asns	Arf5	Oxct1	Emc9			Fam107b			
				ALPK2										Acbd3	Prpf6	Acer2	Eef2			H2-Ab1			
				FGF21										Hexa	Ndufb5	Slc6a6	Arf5			Prnp			
				ZNF385D										Coro1a	Ugt1a6a	S100a9	Prpf6			Tnfrsf12a			
				TRHDE										Ubd	Hc	Lyz1	H2-Q7			Olfml3			
				OXT										Spink3	Agpat2	Rplp1	Acin1			Tmem86a			
				PRKCE										Lpxn	Hsd17b2	Nrg4	Ugt1a6a			Cmpk1			
				PRAMEF10										Pip4k2a	Cryz	Socs2	Cluh			Cd63			
				TMEM45B										Ugcg	Cyp2c67	Rap1b	Hc			Ociad2			
				RGS1										Pdgfra	Pxmp2	Arfgap3	Agpat2			Hspb1			
				SRD5A2										Orai1	Trap1	Hist1h2ak	Otc			Lpl			
				OLFM2										Gm6484	3010026O09Rik	Uap1l1	Hsd17b2			Entpd2			
				ENO3										Haus8	Eif4ebp3	Rrp12	Cyp2c67			Ugt3a1			
				MEP1B										Rap1gap2	Gpld1	Akr1c18	Rbm4b			Serinc2			
				ATHL1										Psat1	Klkb1	Sspn	Sigmar1			Gpnmb			
				LOC100131756										Mat2a	Cyb5r3	Rgs10	Pxmp2			Clstn3			
				HYDIN										Atf3	Plg	Dnajc15	Abca6			Wsb2			
				TMEM154										Ccdc120	Slc45a3	Sccpdh	Trap1			Gabarapl1			
				FNDC5										Mertk	Acox1	Ostm1	3010026O09Rik			Gstp1			
				PEG10										Hist1h4h	Fxyd1	Gars	Pqlc1			Ube2e2			
				NCAM2										Tpm1	Mif4gd	Mrpl17	Klkb1			Olig1			
				GRID1										Rab31	Slc25a17	Anxa3	Cyb5r3			Arl6ip1			
				CYP7A1										Lpl	Selenbp2	Wipf1	Plg			Cyp4v3			
														Mrpl23	Surf1	Pitpna	Slc45a3			Hexa			
														Tmprss2	Srr	Ctps	Acox1			Timp1			
														Adam32	Kmo	Pde1a	Mthfd1			Iscu			
														Sh3pxd2b	Nit2	Alpl	Fxyd1			Fitm1			
														Mmp14	Sugct	Fkbp5	Mif4gd			Wfdc2			
														Trim8	Agxt2	Lgals1	Scap			Trem2			
														Arhgap30	Slc30a10	Ppap2a	Lbp			Gsta1			
														Nans	Shmt1	Wfdc1	Selenbp2			Hsd17b4			
														Enc1	Tmem14c	Tpm4	Surf1			Serpina12			
														St3gal5	Cfhr1	Tbca	Lsm10			Nox4			
														Bhlha15	Ahcy	Ednrb	F2			Csad			
														Slc6a8	Arntl	Tmem120a	Srr			Alas1			
														Plcl2	Lurap1l	Rbms3	Gsto1			Paqr7			
														P2ry6	Ganab	Hist2h2aa1	Nit2			Ephx1			
														Anxa2	Cbs	Hist1h2ah	Sugct			Cfd			
														Hapln4	Apon	Chchd1	Agxt2			H2-M2			
														Cox6a2	Hrsp12	Hist1h2af	Slc30a10						
														Wfdc3	Gstt1	Pla2g12a	Shmt1						
														Timp1	Hsd17b10	Car2	Tmem14c						
														Ddit3	Aadat	Rps24	Gsdmd						
														Ccl4	Gas2	Esam	Cfhr1						
														Dram1	Uroc1	Arl11	Iyd						
														Olfml3	4931406C07Rik	Stard5	Ubxn1						
														Gja1	Car3	Ms4a6d	Ahcy						
														Timm8a1	Mug2	Lrp11	Arntl						
														Acot3	Ifi27	Serpina10	Lurap1l						
														Atp1a1	Ces1e	Vim	Ganab						
														Rab27a	Dnajc7	Snrnp25	Cbs						
														Sirpa	Galm	1700021F05Rik	Apon						
														Cdkn1c	1810011O10Rik	Tmem60	Hrsp12						
														Plekha2	Itih1	Ost4	Gstt1						
														Trem2	Dhrs4	Npm1	Mlycd						
														Stt3b	Afmid	Akr1b8	Gas2						
														Smim19	Mup5	Lcn2	Uroc1						
														Gsta1	St5	Cd84	Car3						
														Reln	Il1rap	Cd83	Mug2						
														Tgm2	C9	Mfsd2a	Ifi27						
														Abhd2	Qsox1	Hat1	Ces1e						
														Slpi	Pdia4	Casp1	Dnajc7						
														Vat1	BC025446	Saa3	Galm						
														Smim7	Slc27a5	Cfl1	Slc29a1						
														Tango2	Gchfr	Avpi1	Nedd4l						
														H2-Ab1	Lonp2	Thbs2	Dcps						
														Csrp2	Mup20	Ccnd1	Rassf3						
														Ckb	Rnf125	Scamp5	Itih1						
														Agpat9	Ethe1	Apoa5	Gldc						
														Hist1h4j	Dhdh	Ap4s1	Dhrs4						
														Srxn1	Proz	Marcks	Afmid						
														Gpt2	Gadd45g	Pkm	Mup5						
														Maged2	Msrb1	Rps12	Atp5d						
														Axl	Asgr2	Spp2	St5						
														Krt23	Mlxipl	Spp1	Echdc3						
														Gipc2	Mup6	Slc24a3	Il1rap						
														Lsm3	Pbld1	S100a6	C9						
														Was	Hsd17b12	Morf4l2	Ifitm2						
														Lpin2	Calr	Mknk1	Qsox1						
														Tmem65	Sec14l2	Tmem9	Pdia4						
														Gdf10	Mup2	Tbl2	BC025446						
														Ehd4	Mocos	Jun	Slc27a5						
														Odc1	Abhd3	Pigp	Hpd						
														Bola2	Sdc4	Por	Gchfr						
														Sh3yl1	Car14	Hvcn1	Lonp2						
														Hdc	Mavs	Scarf2	Mup20						
														Mrpl54	Inhba	Cd68	Rnf125						
														Rpl38	Rdm1	Nhp2	Ethe1						
														Tmem51	Hes6	Gltp	F10						
														Stbd1	C8a	Sparc	Dhdh						
														Cd63	Haao	Prkar1a	Proz						
														Ccdc23	Cyp4f14	Smim8	Entpd8						
														Cyba	Mreg	Slc5a6	Msrb1						
														Rps26	Creld2	Plek	Asgr2						
														Sh3bgrl3	Ces3b	Atp6v1e1	Stard10						
														Ly6d	Scp2	Bgn	Mlxipl						
														Mlkl	Hyi	Cyp4a14	Grb7						
														Aprt	Ephx2	Atp6v1h	Slco2b1						
														Gpx3	Hist1h2bh	Grina	Mup6						
														Tmem43	1700001C19Rik	Hist1h2an	Pbld1						
														Slc48a1	Srsf5	Calml4	Fam210b						
														Mrpl12	Mup4	Pex11a	Zfp637						
														Sult1e1	Tmem19	Pygb	Aarsd1						
														Pdgfa	Tlcd2	Prelp	Calr						
														Scara3	Pdia3	Prcp	Sec14l2						
														Gpnmb	Pxmp4	Mrps34	Mup2						
														H2-DMb1	Tgoln1	1810055G02Rik	Mocos						
														Ppif	Cyp27a1	Nid1	Hsp90ab1						
														Slc6a6	Cml2	Dph3	Abhd3						
														Ier3	Decr2	Rspo3	Psmb9						
														Timp2	Mettl20	Fam102a	Dap						
														Timm17a	Ces1f	Tmem62	Sdc4						
														Ppa1	Lrig1	Col4a2	Car14						
														Gar1	Tspan12	Dbp	Mavs						
														Pptc7	Ak3	Abi2	Cox7a1						
														Arfgap3	1810009N02Rik	Fxyd5	Inhba						
														Uap1l1	Tfr2	Gpc1	Hes6						
														Uaca	Hebp1	Nup43	C8a						
														Nptn	Tmem150a	Gpcpd1	Angptl4						
														Rrp12	F7	Fblim1	Haao						
														Tgm1	Sfxn5	Fam180a	Ceacam1						
														Rragc	Ccl27a	Lhfpl2	Cyp4f14						
														Gars	Gjb1	Cyp2b23	Mreg						
														Vav1	Tmprss6	Apcs	Creld2						
														Mrpl17	Gna14	Btf3	Ces3b						
														Plekha1	Sirt3	Lat2	Scp2						
														B930041F14Rik	Masp2	Hist1h2ag	Hyi						
														Pitpna	Ces1d	Reep5	Sod2						
														Sftpd	Fpgs	Grb10	Hrg						
														Rab2a	1110057K04Rik	Rpl9	Ifitm3						
														Ctps	Mup3	Prss8	Ephx2						
														Bag3	Fahd1	Snn	Hist1h2bh						
														Alpl	Hao1	Eif6	1700001C19Rik						
														Hnrnpab	Chpt1	Nsmce1	Vtn						
														Fkbp5	Gm4952	Tmem208	Os9						
														Nhlrc2	Bmp1	Aldh1a1	C1rl						
														Tmem120a	Proc	Nme1	Srsf5						
														Hist2h2aa1	Upb1	2700060E02Rik	Mup4						
														Pla2g12a	Ugt3a2	Pdgfra	Tmem19						
														Tnfrsf12a	2810007J24Rik	Fnbp1l	Tcea3						
														Slmo2	Plekhb1	Gm6484	Tecr						
														Idh3a	Serping1	Kdelr3	Rnaseh2c						
														S100a11	Serpina11	Hist1h4h	Tlcd2						
														Eif3d	Bco2	Tpm1	Pdia3						
														Mif	Apol9b	St3gal5	Pxmp4						
														Stard5	Cebpa	Tnfaip8	1300017J02Rik						
														Serpina10	C8g	Nedd9	Sema4a						
														Bhlhb9	Saa4	Cadm1	Cyp27a1						
														Lcn2	Acsl1	Hist2h2ac	Cml2						
														Rab3d	Cyp4f15	Ppp2r2d	Pdia5						
														Etf1	C8b	Plcl2	Ces1f						
														Nceh1	Sdr42e1	Mcm6	Lrig1						
														Mfsd2a	Rbm4	Ctsk	Ak3						
														Zfand2a	Masp1	Tnfrsf11b	1810009N02Rik						
														Puf60	Dexi	Rerg	Tfr2						
														Slc40a1	Dio1	Anxa2	Fam20a						
														Acot4	Acsm5	Prkcb	Prr14						
														Ccnd1	Cmtm6	Spata24	Tmem150a						
														Scamp5	Aes	Myo1f	Tmem86b						
														Deb1	Egfr	Maf1	F7						
														Apoa5	Ptms	Hist1h4j	Galt						
														Mfsd7c	Hist1h2bf	Srxn1	Ppdpf						
														Sugp1	Txndc15	Tinag	Fah						
														Mfge8	Rdh7	Tlr13	Sfxn5						
														Hnrnpl	Lrfn3	Fbxw15	Col18a1						
														Bet1l	Selo	Fermt1	Cideb						
														Atad3a	Ggact	Fxyd6	Ccl27a						
														Myo9b	Igf1	Ramp1	Mcc						
														Slc25a47	Ldhd	Gdf10	Gne						
														Mknk2	Ttc39c	Adrb2	Slc46a1						
														Mknk1	Scara5	Micu2	Gjb1						
