,W4_WT3,W4_WT2,W4_WT1,W8_WT3,W8_WT2,W8_WT1,W16_WT3,W16_WT2,W16_WT1,W32_WT1,W32_WT2,W32_WT3,W48_WT1,W48_WT2,W48_WT3,W4_KO3,W4_KO2,W4_KO1,W8_KO3,W8_KO2,W8_KO1,W16_KO3,W16_KO2,W16_KO1,W32_KO2,W32_KO3,W48_KO1,W48_KO2,W48_KO3
Rasef,-0.219388292943497,-0.509969916497825,0.148902773792398,-0.187990385357701,-0.600883742517837,-1.70342068250988,-0.569705321771787,-1.41424696437197,-0.300209584709728,-1.27821343742109,-1.81549405322141,-0.656419030482485,0.0620049040014311,-0.0275747497331459,-0.162331211910932,0.520711412671192,0.443281625867998,0.696661436633724,-0.333777524883774,-0.0951106778785241,0.0706396543141853,0.162166363801637,-0.0710019542480948,1.91206368471352,1.31924316696881,2.4548326136529,1.94282823917528,0.449433931349889,-0.237032276483301
Rcan3,1.0859530531949,0.445674923425693,0.224368319011614,-0.831031539371651,-1.97308004494906,-0.204559450771771,-1.28156958874999,-1.11676291495727,0.90599866341004,-0.632221149094848,-0.251156814654593,0.0660112825015575,-0.0889364206890491,0.301284870335593,0.70637113241462,0.866818768388222,0.504481273197982,-0.0568555928462299,-0.457158428921861,-1.52048027141855,-1.86300388318841,2.40423115758146,-0.450379013977317,1.37956882778731,-0.712723881985389,0.645910304308663,0.741540112903315,0.321936265798191,0.839770041316819
Shank3,-0.453674596892086,-0.20023407030283,-0.116249291260343,0.112301592589018,0.470804748212284,-0.271001537896229,-0.376830555582297,-0.601958882887664,-1.19764548978926,-0.367643141039066,-1.08899689428546,-0.628174289972274,-0.892815663765216,-1.36528682926038,-2.08477874844469,0.123301592104753,1.57828172351742,1.11350633482713,1.29831114063826,-0.651691404611877,1.00258403807812,1.49901225158361,1.86123822647486,1.21826485787034,0.514981068552693,0.903661092077407,-0.911702911994049,-0.827817831243073,0.340253472700926
Src,-0.53335736540186,-0.505899413746097,-1.05159174840791,-1.03977222295949,-0.900257250792106,-0.931009587441241,-0.479584651104144,-0.467213917570609,-0.421005796606534,-0.947148987395646,-0.611978490222183,-0.130743921874419,0.359460911803936,-0.282421619210542,1.69034583933446,-0.657785448515759,-0.310504426371658,-0.90216659566674,-0.537225127570315,-0.814736041107886,-0.815290251464602,0.6899543389341,0.605294902111678,1.93340117868252,1.7587959411829,2.09633621785214,1.31942909102163,0.762111013802937,1.12456342870342
Thy1,0.214986285738773,0.682065846093723,0.817355074961833,0.0995238632328856,-0.793717042260852,-0.382132372284368,-0.116026749697933,-0.399809609358545,0.380794127209533,-1.24509881777714,-0.824798442722021,-1.26266467584589,-0.00149175155759246,-0.0728080255705957,0.708196471763583,0.61813042116691,0.239835593765373,0.836833267532695,0.969122872461467,-0.855412011000688,-0.306031548379655,2.74752224698645,-0.167754850511902,0.175724326346027,-0.310715079764522,1.48156418308786,0.765466405158665,-1.99933000438704,-1.99933000438704
Cspg4,0.530838415951619,0.973629072004444,-0.968133368748776,-0.111199488611643,0.682377150018847,-0.103334492055478,0.353843416077497,-0.568288659761104,-0.99740150024029,-0.691419853281109,-1.45842911461549,0.0766126134058655,-0.537451946807944,-1.15490606170908,0.016390045415952,0.579140117196624,-0.422274666052322,0.455472127478305,-0.194823606109059,-1.2774817709291,-1.82237678184801,0.454319479449859,0.155260026726099,-0.0640400991729469,1.20932224391357,3.28215783208911,0.899501404352717,0.814853470258722,-0.112156004396887
Hpgd,1.74796038213904,1.03650954015877,1.6884595587624,-0.0626679302766557,0.363134027407614,0.619459778267801,-1.24942931659837,-0.174081330505176,0.249211909315635,-1.40680951109536,-0.62097251142981,-1.4416815496035,-0.460404528148283,-0.836131877274684,-0.907189755201721,1.30176952780091,1.00788119422173,1.1458381490243,-0.30559404815953,0.41941913631081,0.633764231883075,-0.499611826750828,-0.584909956657149,-2.18199977360817,1.21502406023206,0.156414314292647,0.475681708815857,-0.587890083168706,-0.741153520154725
Ros1,1.17470698329897,0.782721789054651,0.352273994859858,-0.253125269633581,-0.942449340326868,-2.14195034414981,-0.370262700524176,-0.363050062463294,0.115853957813407,-0.414385892145409,0.29877399795808,-0.249933153856967,0.0108654855397614,1.14761083536247,0.925481504870193,0.884423360815998,0.547228286707524,0.288283904761577,-1.4591028657246,-1.42611909918132,0.30605394642602,0.427780675548948,-0.31966051759067,-1.00474320872632,1.52258094554942,2.4519679251186,-0.886135891085386,-0.0928768111501184,-1.31281243712697
Scube1,-1.72224018118885,-1.03684053267701,-1.72224018118885,0.043498548350103,-0.0818813340130074,-1.01907158240834,-0.689576548900082,-0.37658427166523,0.186900051917558,0.0401503448009074,-0.73412190411719,-0.122399957403213,-0.207119057765713,-0.723774706711933,0.342357150631742,-0.847792645482745,-0.798089186981384,0.663787455029348,0.0587004148659073,-0.75987670486486,0.0822445289601306,1.40161012030598,0.353341528847521,-0.3090875244108,2.21038254478958,1.51618381690009,1.6369806110037,0.988856841009,1.62570236236765
Sned1,-0.459649601340283,-0.889096635127376,-0.364542159060648,0.0633920593208579,0.091706498068477,0.0107763510550761,0.628025877444462,0.383496551384142,0.103163164700866,-2.13240287590151,0.133265512242598,-0.70191963189714,0.220064512150626,0.269212828569838,2.48867784874662,-0.287800171813955,0.917008622388248,0.00695776716533232,-1.23819145730144,0.483896703595567,-0.584910920148928,0.401243921728184,0.346830284486292,-1.64912445570193,1.84009538651411,0.783205363090889,1.46168301118921,-1.32946506563187,-0.995599289916336
Tmem154,0.0423691578053286,-0.973047831721683,-0.555958918049927,1.49434639923256,-0.295601637201804,-0.568638960821528,0.403028551092397,0.268519571755576,0.70954991033367,-1.19998412181134,-0.924931131117001,-1.26756337585632,-0.719756411243816,0.277693616846396,0.00936679887147143,-0.0180892715105229,-0.873650561466348,-1.024188893567,1.25389701734212,-0.255654477987364,-0.703480402879209,0.589883943141092,-2.34682341658825,1.70373369693357,0.915260970953983,1.74008389242454,1.01042022502686,1.11078348822199,0.198432171840566
Gna12,0.301263390651514,-0.140408739663295,0.987347086151374,0.24936263259824,-0.266788206192372,-0.692044974530692,-0.647665693009971,-0.65772502042448,-0.0508458874562862,0.838238437343673,-1.79272429211165,-1.41629429710404,0.685435522967663,-1.9678879139205,-0.85591261843259,0.106986451102272,0.21001920332234,-0.238793045880051,1.7117307473609,0.782558134347187,0.865916345341853,0.0236882350734749,0.198637196037972,-1.31914562771362,-0.630103457000874,-0.824251926929763,1.96116025566249,1.191343737166,1.38690432524317
