diff_w4_up,diff_w4_down,diff_w8_up,diff_w8_down,diff_w16_up,diff_w16_down,diff_w32_up,diff_w32_down,diff_w48_up,diff_w48_down
NA,NA,NA,NA,Mpp7,Ush2a,Pragmin,NA,NA,NA
NA,NA,NA,NA,Mras,Usp2,Prkab2,NA,NA,NA
NA,NA,NA,NA,Mrgprx2,Usp49,Prkar1b,NA,NA,NA
NA,NA,NA,NA,Msantd3,Ust5r,Prkca,NA,NA,NA
NA,NA,NA,NA,Msc,Uxt,Prlr,NA,NA,NA
NA,NA,NA,NA,Msn,Vamp7,Prmt1,NA,NA,NA
NA,NA,NA,NA,Mterfd3,Vipr1,Prmt2,NA,NA,NA
NA,NA,NA,NA,Mthfd1l,Vom1r100,Prnp,NA,NA,NA
NA,NA,NA,NA,Mthfd2,Vom1r99,Prom1,NA,NA,NA
NA,NA,NA,NA,Mtmr11,Vsig4,Prrx1,NA,NA,NA
NA,NA,NA,NA,Musk,Vtn,Prss22,NA,NA,NA
NA,NA,NA,NA,Mvb12b,Vwce,Prss32,NA,NA,NA
NA,NA,NA,NA,Mvp,Wasf1,Prss8,NA,NA,NA
NA,NA,NA,NA,Mx2,Wfdc1,Psapl1,NA,NA,NA
NA,NA,NA,NA,Mxd3,Xbp1,Psat1,NA,NA,NA
NA,NA,NA,NA,Mxra8,Xcr1,Psen2,NA,NA,NA
NA,NA,NA,NA,Myadm,Xk,Psmb10,NA,NA,NA
NA,NA,NA,NA,Mybbp1a,Xkr8,Pspc1,NA,NA,NA
NA,NA,NA,NA,Mybl1,Xpnpep2,Ptger4,NA,NA,NA
NA,NA,NA,NA,Mybpc1,Xylb,Ptgir,NA,NA,NA
NA,NA,NA,NA,Mybph,Zbtb26,Ptgs2,NA,NA,NA
NA,NA,NA,NA,Myc,Zbtb38,Ptk2b,NA,NA,NA
NA,NA,NA,NA,Mycl,Zbtb43,Ptk7,NA,NA,NA
NA,NA,NA,NA,Myct1,Zcchc11,Ptma,NA,NA,NA
NA,NA,NA,NA,Myef2,Zdhhc23,Ptpn14,NA,NA,NA
NA,NA,NA,NA,Myh1,Zfat,Ptpre,NA,NA,NA
NA,NA,NA,NA,Myh10,Zfp213,Ptprn,NA,NA,NA
NA,NA,NA,NA,Myh9,Zfp251,Ptpru,NA,NA,NA
NA,NA,NA,NA,Myh9l1,Zfp266,Ptprz1,NA,NA,NA
NA,NA,NA,NA,Myl12a,Zfp292,Ptrf,NA,NA,NA
NA,NA,NA,NA,Myl4,Zfp37,PVR,NA,NA,NA
NA,NA,NA,NA,Myo1c,Zfp386,Rab19,NA,NA,NA
NA,NA,NA,NA,Myo1f,Zfp394,Rab25,NA,NA,NA
NA,NA,NA,NA,Myo1g,Zfp467,Rab27b,NA,NA,NA
NA,NA,NA,NA,Myo5a,Zfp472,Rab30,NA,NA,NA
NA,NA,NA,NA,Myo7b,Zfp597,Rab31,NA,NA,NA
NA,NA,NA,NA,Myof,Zfp7,Rab32,NA,NA,NA
NA,NA,NA,NA,Myom1,Zfyve21,Rab3d,NA,NA,NA
NA,NA,NA,NA,Mypn,Zkscan5,Rab7b,NA,NA,NA
NA,NA,NA,NA,N4bp1,Zrsr1,Rad51,NA,NA,NA
NA,NA,NA,NA,N4bp3,NA,Ralyl,NA,NA,NA
NA,NA,NA,NA,Nacc1,NA,Rap1gap,NA,NA,NA
NA,NA,NA,NA,Nagk,NA,Rapgef3,NA,NA,NA
NA,NA,NA,NA,Nap1l3,NA,Rasa2,NA,NA,NA
NA,NA,NA,NA,Nav2,NA,Rasef,NA,NA,NA
NA,NA,NA,NA,Ncdn,NA,Rasgrf2,NA,NA,NA
NA,NA,NA,NA,Nceh1,NA,Rasgrp4,NA,NA,NA
NA,NA,NA,NA,Ncf1,NA,Rasl10b,NA,NA,NA
NA,NA,NA,NA,Ncf2,NA,Rasl11b,NA,NA,NA
NA,NA,NA,NA,Ncs1,NA,Rasl12,NA,NA,NA
NA,NA,NA,NA,Ndrg1,NA,Rassf8,NA,NA,NA
NA,NA,NA,NA,Ndufaf4,NA,Rbm3,NA,NA,NA
NA,NA,NA,NA,Nek2,NA,Rbm43,NA,NA,NA
NA,NA,NA,NA,Nek6,NA,Rbp2,NA,NA,NA
NA,NA,NA,NA,Nenf,NA,Rbpj,NA,NA,NA
NA,NA,NA,NA,Nes,NA,Rbpjl,NA,NA,NA
NA,NA,NA,NA,Neurl3,NA,Rcn1,NA,NA,NA
NA,NA,NA,NA,Nfkb1,NA,Rcn2,NA,NA,NA
NA,NA,NA,NA,Nfkb2,NA,Rcn3,NA,NA,NA
NA,NA,NA,NA,Nfkbia,NA,Rec8,NA,NA,NA
NA,NA,NA,NA,Nfkbie,NA,Reck,NA,NA,NA
NA,NA,NA,NA,Niacr1,NA,Recql4,NA,NA,NA
NA,NA,NA,NA,Nin,NA,Reep5,NA,NA,NA
NA,NA,NA,NA,Nipal2,NA,Relt,NA,NA,NA
NA,NA,NA,NA,Nle1,NA,Rem2,NA,NA,NA
NA,NA,NA,NA,Nme1,NA,Rftn1,NA,NA,NA
NA,NA,NA,NA,Nmt2,NA,Rfx5,NA,NA,NA
NA,NA,NA,NA,Nol10,NA,RGD1304624,NA,NA,NA
NA,NA,NA,NA,Nol3,NA,RGD1304694,NA,NA,NA
NA,NA,NA,NA,Nolc1,NA,RGD1304810,NA,NA,NA
NA,NA,NA,NA,Nop14,NA,RGD1305928,NA,NA,NA
NA,NA,NA,NA,Nop2,NA,RGD1306739,NA,NA,NA
NA,NA,NA,NA,Nop56,NA,RGD1307315,NA,NA,NA
NA,NA,NA,NA,Nop58,NA,RGD1311739,NA,NA,NA
NA,NA,NA,NA,Nos1,NA,RGD1311756,NA,NA,NA
NA,NA,NA,NA,Nos2,NA,RGD1311946,NA,NA,NA
NA,NA,NA,NA,Notch2,NA,RGD1359127,NA,NA,NA
NA,NA,NA,NA,Np4,NA,RGD1561149,NA,NA,NA
NA,NA,NA,NA,Npas2,NA,RGD1561849,NA,NA,NA
NA,NA,NA,NA,Npdc1,NA,RGD1562284,NA,NA,NA
NA,NA,NA,NA,Npffr2,NA,RGD1562608,NA,NA,NA
NA,NA,NA,NA,Nr2c2ap,NA,RGD1562699,NA,NA,NA
NA,NA,NA,NA,Nr4a1,NA,RGD1564124,NA,NA,NA
NA,NA,NA,NA,Nradd,NA,RGD1564664,NA,NA,NA
NA,NA,NA,NA,Nrg1,NA,RGD1565355,NA,NA,NA
NA,NA,NA,NA,Nrp2,NA,RGD1565367,NA,NA,NA
NA,NA,NA,NA,Nt5c,NA,RGD1566401,NA,NA,NA
NA,NA,NA,NA,Nt5c3b,NA,Rgs14,NA,NA,NA
NA,NA,NA,NA,Nuak1,NA,Rgs4,NA,NA,NA
NA,NA,NA,NA,Nudt13,NA,Rgs5,NA,NA,NA
NA,NA,NA,NA,Nudt7,NA,Rhbdf1,NA,NA,NA
NA,NA,NA,NA,Nup205,NA,Rhbdf2,NA,NA,NA
NA,NA,NA,NA,Nupr1,NA,Rhbg,NA,NA,NA
NA,NA,NA,NA,Nusap1,NA,Rhob,NA,NA,NA
NA,NA,NA,NA,Nxt1,NA,Rhoc,NA,NA,NA
NA,NA,NA,NA,Nyap1,NA,Rhoj,NA,NA,NA
NA,NA,NA,NA,Oasl2,NA,Rhoq,NA,NA,NA
NA,NA,NA,NA,Odc1,NA,Rhov,NA,NA,NA
NA,NA,NA,NA,Olfml2a,NA,Ric3,NA,NA,NA
NA,NA,NA,NA,Olfml2b,NA,Rims2,NA,NA,NA
NA,NA,NA,NA,Olr1,NA,Rin1,NA,NA,NA
NA,NA,NA,NA,Orai2,NA,Ripk2,NA,NA,NA
NA,NA,NA,NA,Orm1,NA,Ripk3,NA,NA,NA
NA,NA,NA,NA,Oscar,NA,Rmnd5b,NA,NA,NA
NA,NA,NA,NA,Osmr,NA,Rnd1,NA,NA,NA
NA,NA,NA,NA,Oxct1,NA,Rnf11l1,NA,NA,NA
NA,NA,NA,NA,P2rx5,NA,Rnf208,NA,NA,NA
NA,NA,NA,NA,P3h4,NA,Rnf219,NA,NA,NA
NA,NA,NA,NA,Pak1,NA,Rnpepl1,NA,NA,NA
NA,NA,NA,NA,Pak1ip1,NA,Robo2,NA,NA,NA
NA,NA,NA,NA,Palm,NA,Ros1,NA,NA,NA
NA,NA,NA,NA,Palm2,NA,Rp1,NA,NA,NA
NA,NA,NA,NA,Papss1,NA,Rps6ka2,NA,NA,NA
NA,NA,NA,NA,Paqr3,NA,Rps6ka3,NA,NA,NA
NA,NA,NA,NA,Paqr8,NA,Rrp9,NA,NA,NA
NA,NA,NA,NA,Parp14,NA,Rsad1,NA,NA,NA
NA,NA,NA,NA,Parp16,NA,RT1-M4,NA,NA,NA
NA,NA,NA,NA,Parp3,NA,Rtkn,NA,NA,NA
NA,NA,NA,NA,Parvb,NA,Rtn4,NA,NA,NA
NA,NA,NA,NA,Pax6,NA,Rtn4r,NA,NA,NA
NA,NA,NA,NA,Pax8,NA,Runx1,NA,NA,NA
NA,NA,NA,NA,Pbk,NA,S100a10,NA,NA,NA
NA,NA,NA,NA,Pcdh19,NA,S100a11,NA,NA,NA
NA,NA,NA,NA,Pcdhb20,NA,S100a16,NA,NA,NA
NA,NA,NA,NA,Pcdhb21,NA,S100a4,NA,NA,NA
NA,NA,NA,NA,Pcdhga10,NA,S100a6,NA,NA,NA
NA,NA,NA,NA,Pcdhga11,NA,S100a8,NA,NA,NA
NA,NA,NA,NA,Pcdhga12,NA,S100a9,NA,NA,NA
NA,NA,NA,NA,Pcdhga2,NA,S1pr2,NA,NA,NA
NA,NA,NA,NA,Pcdhga5,NA,Sall2,NA,NA,NA
NA,NA,NA,NA,Pcdhga7,NA,Samd4a,NA,NA,NA
NA,NA,NA,NA,Pcdhga9,NA,Sat1,NA,NA,NA
NA,NA,NA,NA,Pcdhgb7,NA,Scamp5,NA,NA,NA
NA,NA,NA,NA,Pcolce,NA,Scara3,NA,NA,NA
NA,NA,NA,NA,Pcp4l1,NA,Scara5,NA,NA,NA
NA,NA,NA,NA,Pcyox1l,NA,Scarf2,NA,NA,NA
NA,NA,NA,NA,Pdcl3,NA,Scd2,NA,NA,NA
NA,NA,NA,NA,Pde10a,NA,Schip1,NA,NA,NA
NA,NA,NA,NA,Pde5a,NA,Scn3a,NA,NA,NA
NA,NA,NA,NA,Pde9a,NA,Scn7a,NA,NA,NA
NA,NA,NA,NA,Pdgfa,NA,Sctr,NA,NA,NA
NA,NA,NA,NA,Pdgfb,NA,Scube1,NA,NA,NA
NA,NA,NA,NA,Pdgfd,NA,Sdc1,NA,NA,NA
NA,NA,NA,NA,Pdgfra,NA,Sdk2,NA,NA,NA
NA,NA,NA,NA,Pdgfrb,NA,Sele,NA,NA,NA
NA,NA,NA,NA,Pdk3,NA,Selm,NA,NA,NA
NA,NA,NA,NA,Pdlim1,NA,Sema3b,NA,NA,NA
NA,NA,NA,NA,Pdlim2,NA,Sema3c,NA,NA,NA
NA,NA,NA,NA,Pdlim4,NA,Sema3e,NA,NA,NA
NA,NA,NA,NA,Pdlim7,NA,Sema3f,NA,NA,NA
NA,NA,NA,NA,Peak1,NA,Sema3g,NA,NA,NA
NA,NA,NA,NA,Penk,NA,Sema4a,NA,NA,NA
NA,NA,NA,NA,Perp,NA,Sema5a,NA,NA,NA
NA,NA,NA,NA,Pfkfb3,NA,Sema7a,NA,NA,NA
NA,NA,NA,NA,Pfkp,NA,Sep-11,NA,NA,NA
NA,NA,NA,NA,Pgam1,NA,Sep-08,NA,NA,NA
NA,NA,NA,NA,Pgam5,NA,Serinc2,NA,NA,NA
NA,NA,NA,NA,Pgd,NA,Serpinb1a,NA,NA,NA
NA,NA,NA,NA,Pgm2,NA,Serpinb5,NA,NA,NA
NA,NA,NA,NA,Phactr2,NA,Serpinb8,NA,NA,NA
NA,NA,NA,NA,Phc2,NA,Serpinb9,NA,NA,NA
NA,NA,NA,NA,Phlda1,NA,Serpine1,NA,NA,NA
NA,NA,NA,NA,Phlda2,NA,Serpinh1,NA,NA,NA
NA,NA,NA,NA,Phldb1,NA,Sertad1,NA,NA,NA
NA,NA,NA,NA,Piezo1,NA,Sertad4,NA,NA,NA
NA,NA,NA,NA,Pih1d2,NA,Sesn3,NA,NA,NA
NA,NA,NA,NA,Pik3c2b,NA,Sestd1,NA,NA,NA
NA,NA,NA,NA,Pik3r5,NA,Sfrp2,NA,NA,NA
NA,NA,NA,NA,Pkd2,NA,Sfxn3,NA,NA,NA
NA,NA,NA,NA,Pkia,NA,Sgcb,NA,NA,NA
NA,NA,NA,NA,Pkm,NA,Sgms2,NA,NA,NA
NA,NA,NA,NA,Pkp2,NA,Sh3bgr,NA,NA,NA
NA,NA,NA,NA,Pla1a,NA,Sh3bgrl2,NA,NA,NA
NA,NA,NA,NA,Pla2g7,NA,Sh3bp4,NA,NA,NA
NA,NA,NA,NA,Plat,NA,Sh3gl2,NA,NA,NA
NA,NA,NA,NA,Plau,NA,Sh3rf2,NA,NA,NA
NA,NA,NA,NA,Plaur,NA,Sh3yl1,NA,NA,NA
NA,NA,NA,NA,Plcd1,NA,Shtn1,NA,NA,NA
NA,NA,NA,NA,Plce1,NA,Sirpa,NA,NA,NA
NA,NA,NA,NA,Plch1,NA,Ska2,NA,NA,NA
NA,NA,NA,NA,Plcxd3,NA,Slc10a2,NA,NA,NA
NA,NA,NA,NA,Pld1,NA,Slc12a2,NA,NA,NA
NA,NA,NA,NA,Plek2,NA,Slc14a1,NA,NA,NA
NA,NA,NA,NA,Plekha1,NA,Slc1a2,NA,NA,NA
NA,NA,NA,NA,Plekha4,NA,Slc1a5,NA,NA,NA
NA,NA,NA,NA,Plekhg1,NA,Slc20a1,NA,NA,NA
NA,NA,NA,NA,Plekhg2,NA,Slc22a15,NA,NA,NA
NA,NA,NA,NA,Plekhh1,NA,Slc23a3,NA,NA,NA
NA,NA,NA,NA,Plekhs1,NA,Slc25a24,NA,NA,NA
NA,NA,NA,NA,Plet1,NA,Slc25a27,NA,NA,NA
NA,NA,NA,NA,Plin2,NA,Slc25a4,NA,NA,NA
NA,NA,NA,NA,Plin5,NA,Slc26a9,NA,NA,NA
NA,NA,NA,NA,Plk1,NA,Slc29a3,NA,NA,NA
NA,NA,NA,NA,Plk3,NA,Slc34a2,NA,NA,NA
NA,NA,NA,NA,Plod2,NA,Slc36a2,NA,NA,NA
NA,NA,NA,NA,Plp2,NA,Slc36a4,NA,NA,NA
NA,NA,NA,NA,Plscr1,NA,Slc39a10,NA,NA,NA
NA,NA,NA,NA,Plscr3,NA,Slc39a5,NA,NA,NA
NA,NA,NA,NA,Plscr4,NA,Slc3a2,NA,NA,NA
NA,NA,NA,NA,Plxna3,NA,Slc4a3,NA,NA,NA
NA,NA,NA,NA,Pmepa1,NA,Slc4a4,NA,NA,NA
NA,NA,NA,NA,Pmp22,NA,Slc5a1,NA,NA,NA
NA,NA,NA,NA,Pmvk,NA,Slc5a10,NA,NA,NA
NA,NA,NA,NA,Pnliprp2,NA,Slc5a9,NA,NA,NA
NA,NA,NA,NA,Pno1,NA,Slc7a1,NA,NA,NA
NA,NA,NA,NA,Pnoc,NA,Slc7a11,NA,NA,NA
NA,NA,NA,NA,Pnpla5,NA,Slc7a5,NA,NA,NA
NA,NA,NA,NA,Pnrc1,NA,Slc7a6,NA,NA,NA
NA,NA,NA,NA,Polb,NA,Slco3a1,NA,NA,NA
NA,NA,NA,NA,Polr3g,NA,Slfnl1,NA,NA,NA
NA,NA,NA,NA,Popdc2,NA,Slit2,NA,NA,NA
NA,NA,NA,NA,Postn,NA,Slitrk4,NA,NA,NA
NA,NA,NA,NA,Ppapdc2,NA,Smarcd1,NA,NA,NA
NA,NA,NA,NA,Ppic,NA,Smoc2,NA,NA,NA
NA,NA,NA,NA,Ppil1,NA,Smox,NA,NA,NA
NA,NA,NA,NA,Ppil3,NA,Smpd3,NA,NA,NA
NA,NA,NA,NA,Ppl,NA,Smtnl2,NA,NA,NA
NA,NA,NA,NA,Ppp1r14b,NA,Snai1,NA,NA,NA
NA,NA,NA,NA,Ppp1r14c,NA,Sncaip,NA,NA,NA
NA,NA,NA,NA,Ppp1r15a,NA,Sncg,NA,NA,NA
NA,NA,NA,NA,Ppp2ca,NA,Sned1,NA,NA,NA
NA,NA,NA,NA,Ppp2cb,NA,Snhg11,NA,NA,NA
NA,NA,NA,NA,Ppp2r1b,NA,Snx10,NA,NA,NA
NA,NA,NA,NA,Ppp2r2d,NA,Snx12,NA,NA,NA
NA,NA,NA,NA,Pprc1,NA,Snx29,NA,NA,NA
NA,NA,NA,NA,Pqlc3,NA,Sod2,NA,NA,NA
NA,NA,NA,NA,Pragmin,NA,Sorcs1,NA,NA,NA
NA,NA,NA,NA,Prc1,NA,Sorcs2,NA,NA,NA
NA,NA,NA,NA,Prickle1,NA,Sowahc,NA,NA,NA
NA,NA,NA,NA,Prkaa1,NA,Sox4,NA,NA,NA
NA,NA,NA,NA,Prkab2,NA,Sox9,NA,NA,NA
NA,NA,NA,NA,Prkar1b,NA,Sparcl1,NA,NA,NA
NA,NA,NA,NA,Prkar2a,NA,Spata2L,NA,NA,NA
NA,NA,NA,NA,Prkca,NA,Spats1,NA,NA,NA
NA,NA,NA,NA,Prkci,NA,Spats2,NA,NA,NA
NA,NA,NA,NA,Prkd1,NA,Spdef,NA,NA,NA
NA,NA,NA,NA,Prkrir,NA,Specc1,NA,NA,NA
NA,NA,NA,NA,Prkx,NA,Speg,NA,NA,NA
NA,NA,NA,NA,Prmt3,NA,Sphk1,NA,NA,NA
NA,NA,NA,NA,Procr,NA,Spint1,NA,NA,NA
NA,NA,NA,NA,Prr13,NA,Spn,NA,NA,NA
NA,NA,NA,NA,Prr7,NA,Spns2,NA,NA,NA
NA,NA,NA,NA,Prrx1,NA,Spp1,NA,NA,NA
NA,NA,NA,NA,Prss22,NA,Spryd3,NA,NA,NA
NA,NA,NA,NA,Prss36,NA,Spsb4,NA,NA,NA
NA,NA,NA,NA,Prss8,NA,Sptan1,NA,NA,NA
NA,NA,NA,NA,Prtfdc1,NA,Sptbn4,NA,NA,NA
NA,NA,NA,NA,Psat1,NA,Sptssb,NA,NA,NA
NA,NA,NA,NA,Psca,NA,Src,NA,NA,NA
NA,NA,NA,NA,Psen2,NA,Srd5a3,NA,NA,NA
NA,NA,NA,NA,Psmb9,NA,Sri,NA,NA,NA
NA,NA,NA,NA,Psph,NA,Srpx,NA,NA,NA
NA,NA,NA,NA,Ptcd3,NA,Srpx2,NA,NA,NA
NA,NA,NA,NA,Ptger2,NA,Srxn1,NA,NA,NA
NA,NA,NA,NA,Ptger4,NA,Ssc5d,NA,NA,NA
NA,NA,NA,NA,Ptgfrn,NA,Sstr3,NA,NA,NA
NA,NA,NA,NA,Ptgs2,NA,St3gal2,NA,NA,NA
NA,NA,NA,NA,Ptk2b,NA,St3gal4,NA,NA,NA
NA,NA,NA,NA,Ptk7,NA,St6galnac2,NA,NA,NA
NA,NA,NA,NA,Ptpn23,NA,Stap1,NA,NA,NA
NA,NA,NA,NA,Ptpre,NA,Steap2,NA,NA,NA
NA,NA,NA,NA,Ptprr,NA,Steap4,NA,NA,NA
NA,NA,NA,NA,Ptprt,NA,Stk26,NA,NA,NA
NA,NA,NA,NA,Ptprv,NA,Stk39,NA,NA,NA
NA,NA,NA,NA,Ptrf,NA,Stk40,NA,NA,NA
NA,NA,NA,NA,Pus1,NA,Ston1,NA,NA,NA
NA,NA,NA,NA,PVR,NA,Stx1a,NA,NA,NA
NA,NA,NA,NA,Pwwp2b,NA,Stx1b,NA,NA,NA
NA,NA,NA,NA,Pxdn,NA,Stxbp1,NA,NA,NA
NA,NA,NA,NA,Pycr1,NA,Sulf1,NA,NA,NA
NA,NA,NA,NA,Pygb,NA,Sult2a2,NA,NA,NA
NA,NA,NA,NA,Qrfpr,NA,Sult2a6,NA,NA,NA
NA,NA,NA,NA,Rab11fip1,NA,Sult5a1,NA,NA,NA
NA,NA,NA,NA,Rab12,NA,Susd3,NA,NA,NA
NA,NA,NA,NA,Rab15,NA,Syde1,NA,NA,NA
NA,NA,NA,NA,Rab23,NA,Syn3,NA,NA,NA
NA,NA,NA,NA,Rab31,NA,Syne3,NA,NA,NA
NA,NA,NA,NA,Rab32,NA,Synj2,NA,NA,NA
NA,NA,NA,NA,Rab38,NA,Synpo,NA,NA,NA
NA,NA,NA,NA,Rab4a,NA,Synpo2,NA,NA,NA
NA,NA,NA,NA,Rab7b,NA,Syt1,NA,NA,NA
NA,NA,NA,NA,Rad18,NA,Syt7,NA,NA,NA
NA,NA,NA,NA,Rad51,NA,Tacc2,NA,NA,NA
NA,NA,NA,NA,Rai14,NA,Tacstd2,NA,NA,NA
NA,NA,NA,NA,Ralb,NA,Tagln,NA,NA,NA
NA,NA,NA,NA,Ralyl,NA,Tagln2,NA,NA,NA
NA,NA,NA,NA,Ramp1,NA,Tax1bp3,NA,NA,NA
NA,NA,NA,NA,Ran,NA,Tbcel,NA,NA,NA
NA,NA,NA,NA,Ranbp1,NA,Tcf21,NA,NA,NA
NA,NA,NA,NA,Rap1gap,NA,Tcf3,NA,NA,NA
NA,NA,NA,NA,Rap2b,NA,Tcp11l1,NA,NA,NA
NA,NA,NA,NA,Rapgef3,NA,Tdh,NA,NA,NA
NA,NA,NA,NA,Rapgef5,NA,Tenm3,NA,NA,NA
NA,NA,NA,NA,Rarb,NA,Tes,NA,NA,NA
NA,NA,NA,NA,Rasa2,NA,Tex36,NA,NA,NA
NA,NA,NA,NA,Rasa3,NA,Tfcp2l1,NA,NA,NA
NA,NA,NA,NA,Rasef,NA,Tgfb1i1,NA,NA,NA
NA,NA,NA,NA,Rasl10b,NA,Tgm2,NA,NA,NA
NA,NA,NA,NA,Rasl11b,NA,Thbs1,NA,NA,NA
NA,NA,NA,NA,Rasl12,NA,Thsd1,NA,NA,NA
NA,NA,NA,NA,Rassf1,NA,Thy1,NA,NA,NA
NA,NA,NA,NA,Rassf8,NA,Tiam1,NA,NA,NA
NA,NA,NA,NA,Rassf9,NA,Tigar,NA,NA,NA
NA,NA,NA,NA,Rbbp8,NA,Timp1,NA,NA,NA
NA,NA,NA,NA,Rbm3,NA,Timp3,NA,NA,NA
NA,NA,NA,NA,Rbpjl,NA,Tll1,NA,NA,NA
NA,NA,NA,NA,Rcan3,NA,Tm4sf1,NA,NA,NA
NA,NA,NA,NA,Rcn1,NA,Tm4sf19,NA,NA,NA
NA,NA,NA,NA,Rdh13,NA,Tm4sf20,NA,NA,NA
NA,NA,NA,NA,Rec8,NA,Tm6sf1,NA,NA,NA
NA,NA,NA,NA,Reck,NA,Tm7sf3,NA,NA,NA
NA,NA,NA,NA,Reep5,NA,Tmbim1,NA,NA,NA
NA,NA,NA,NA,Reep6,NA,Tmc4,NA,NA,NA
NA,NA,NA,NA,Rem1,NA,Tmc5,NA,NA,NA
NA,NA,NA,NA,Rem2,NA,Tmem119,NA,NA,NA
NA,NA,NA,NA,Rfx5,NA,Tmem120a,NA,NA,NA
NA,NA,NA,NA,Rgcc,NA,Tmem151a,NA,NA,NA
NA,NA,NA,NA,RGD1304810,NA,Tmem154,NA,NA,NA
NA,NA,NA,NA,RGD1305110,NA,Tmem171,NA,NA,NA
NA,NA,NA,NA,RGD1305464,NA,Tmem179,NA,NA,NA
NA,NA,NA,NA,RGD1305928,NA,Tmem184a,NA,NA,NA
NA,NA,NA,NA,RGD1306058,NA,Tmem184b,NA,NA,NA
NA,NA,NA,NA,RGD1306151,NA,Tmem237,NA,NA,NA
NA,NA,NA,NA,RGD1307315,NA,Tmem67,NA,NA,NA
NA,NA,NA,NA,RGD1308117,NA,Tmem72,NA,NA,NA
NA,NA,NA,NA,RGD1311739,NA,Tmsb10,NA,NA,NA
NA,NA,NA,NA,RGD1311946,NA,Tnc,NA,NA,NA
NA,NA,NA,NA,RGD1359127,NA,Tnf,NA,NA,NA
NA,NA,NA,NA,RGD1559482,NA,Tnfaip2,NA,NA,NA
NA,NA,NA,NA,RGD1560010,NA,Tnfaip6,NA,NA,NA
NA,NA,NA,NA,RGD1560108,NA,Tnfaip8,NA,NA,NA
NA,NA,NA,NA,RGD1561149,NA,Tnfrsf12a,NA,NA,NA
NA,NA,NA,NA,RGD1561161,NA,Tnfrsf21,NA,NA,NA
NA,NA,NA,NA,RGD1561849,NA,Tnfrsf9,NA,NA,NA
NA,NA,NA,NA,RGD1562079,NA,Tnk1,NA,NA,NA
NA,NA,NA,NA,RGD1562136,NA,Tnnt2,NA,NA,NA
NA,NA,NA,NA,RGD1563072,NA,Tns3,NA,NA,NA
NA,NA,NA,NA,RGD1564450,NA,Tns4,NA,NA,NA
NA,NA,NA,NA,RGD1564664,NA,Tnxa-ps1,NA,NA,NA
NA,NA,NA,NA,RGD1565355,NA,Tox,NA,NA,NA
NA,NA,NA,NA,Rgma,NA,Tp53,NA,NA,NA
NA,NA,NA,NA,Rgs1,NA,Tpbg,NA,NA,NA
NA,NA,NA,NA,Rgs19,NA,Tpd52l1,NA,NA,NA
NA,NA,NA,NA,Rgs2,NA,Tpm1,NA,NA,NA
NA,NA,NA,NA,Rgs4,NA,Tpm2,NA,NA,NA
NA,NA,NA,NA,Rgs5,NA,Tpm4,NA,NA,NA
NA,NA,NA,NA,Rhbdf1,NA,Tppp3,NA,NA,NA
NA,NA,NA,NA,Rhbdf2,NA,Traf3,NA,NA,NA
NA,NA,NA,NA,Rhob,NA,Trak2,NA,NA,NA
NA,NA,NA,NA,Rhoc,NA,Trem1,NA,NA,NA
NA,NA,NA,NA,Rhoq,NA,Trem3,NA,NA,NA
NA,NA,NA,NA,Rims2,NA,Tril,NA,NA,NA
NA,NA,NA,NA,Rin1,NA,Trim24,NA,NA,NA
NA,NA,NA,NA,Rinl,NA,Trim35,NA,NA,NA
NA,NA,NA,NA,Ripk2,NA,Trim46,NA,NA,NA
NA,NA,NA,NA,Ripk3,NA,Trim47,NA,NA,NA
NA,NA,NA,NA,Rmnd5b,NA,Trip6,NA,NA,NA
NA,NA,NA,NA,Rnd1,NA,Trmt6,NA,NA,NA
NA,NA,NA,NA,Rnf11l1,NA,Trpc6,NA,NA,NA
NA,NA,NA,NA,Rnf19b,NA,Trpm4,NA,NA,NA
NA,NA,NA,NA,Rnf4,NA,Trpv2,NA,NA,NA
NA,NA,NA,NA,Rnf8,NA,Tsc22d1,NA,NA,NA
NA,NA,NA,NA,Robo4,NA,Tsc22d4,NA,NA,NA
NA,NA,NA,NA,Ropn1,NA,Tshz3,NA,NA,NA
NA,NA,NA,NA,Rp1,NA,Tspan11,NA,NA,NA
NA,NA,NA,NA,Rph3al,NA,Tspan17,NA,NA,NA
NA,NA,NA,NA,Rpia,NA,Tspan2,NA,NA,NA
NA,NA,NA,NA,Rpp38,NA,Tspan8,NA,NA,NA
NA,NA,NA,NA,Rprm,NA,Tspan9,NA,NA,NA
NA,NA,NA,NA,Rps6ka2,NA,Tspo,NA,NA,NA
NA,NA,NA,NA,Rps6ka3,NA,Tsx,NA,NA,NA
NA,NA,NA,NA,Rras,NA,Ttbk1,NA,NA,NA
NA,NA,NA,NA,Rsad1,NA,Ttc12,NA,NA,NA
NA,NA,NA,NA,RT1-A3,NA,Ttc26,NA,NA,NA
NA,NA,NA,NA,RT1-Bb,NA,Ttc39a,NA,NA,NA
NA,NA,NA,NA,RT1-CE14,NA,Ttc8,NA,NA,NA
NA,NA,NA,NA,RT1-CE4,NA,Ttc9,NA,NA,NA
NA,NA,NA,NA,RT1-M4,NA,Ttll10,NA,NA,NA
NA,NA,NA,NA,Rtkn,NA,Tuba1a,NA,NA,NA
NA,NA,NA,NA,Rtn4,NA,Tuba1b,NA,NA,NA
NA,NA,NA,NA,Runx1,NA,Tubb2a,NA,NA,NA
