diff_w4_up,diff_w4_down,diff_w8_up,diff_w8_down,diff_w16_up,diff_w16_down,diff_w32_up,diff_w32_down,diff_w48_up,diff_w48_down
Mocos,NA,Kank1,Pxylp1,Arl4a,Bspry,B4galt4,Cacna1d,Pcolce,Ptp4a1
Mxd4,NA,Kank2,Pzp,Arl4c,Btla,B4galt6,Cadm4,Pcsk6,Ptpn13
Mycl,NA,Kcnn2,Qsox1,Arl4d,C1qa,Basp1,Camk2n1,Pdlim4,Ptprh
Nabp1,NA,Kifc3,Ren,Arl6,C1qb,Bbs7,Car1,Perp,Pus7
Nav2,NA,Krt23,RGD1564804,Arl8a,C1qc,Bcam,Car14,Pgd,Pyroxd1
Ntf3,NA,Lamb3,Rgs3,Armc6,C1qtnf3,Bcar3,Car3,Phactr2,Rbbp4
Obp1f,NA,Leap2,Rgsl2h,Armcx2,C1rl,Bcat1,Casp6,Plbd1,Rcan2
Olr59,NA,Lhx8,Rhbdf1,Arntl,C2cd2l,Bcl11b,Cat,Plxna2,RGD1308706
Oplah,NA,Lilrb4,Rnf144b,Arrdc1,C8a,Bcl2,Cbs,Ppp2r1b,RGD1559600
Ormdl3,NA,Lin37,Sat2,Arrdc4,C8b,Bcl2a1,Ccbl2,Prg4,RGD1564804
Otub2,NA,Lnx2,Sds,Arse,Cabp1,Bdkrb2,Ccdc117,Prlr,Rgn
P2rx5,NA,LOC100361444,Serpina3c,Asah2,Cabp5,Bdnf,Ccdc126,Prss32,Rgs3
P2ry1,NA,LOC100363193,Slc1a3,Asb5,Cacna1d,Bend5,Ccdc148,Psat1,Rhbdd2
Paqr7,NA,LOC498836,Slc29a4,Asns,Camk2n1,Bgn,Ccdc152,Psen2,Rhobtb1
Pdgfa,NA,LOC691083,Slc2a1,Aspm,Capn11,Bhlhb9,Ccdc28b,Ptk2b,Rnd2
Per2,NA,Lonrf3,Slc30a3,Atcay,Car3,Bhlhe22,Ccl5,Ptk6,Rnf186
Perp,NA,Lpar6,Slc41a1,Atf3,Casp6,Bicc1,Ccl6,Rab38,Ror2
Pgm1,NA,Lrrc19,Slc44a4,Atf4,Casr,Bicd1,Cd163,Rarb,RT1-CE16
Pnliprp2,NA,Lrtm2,Slc46a1,Atic,Cat,Birc3,Cd200r1,Rassf6,Rundc3b
Ppp1r10,NA,Mbp,Slc6a12,Atp10a,Cbs,Bmp4,Cd22,Reep6,Sat2
Ppp1r3b,NA,Mcf2l,Slc7a2,Atp1a3,Cbx2,Bmp7,Cd302,Rfx6,Sds
Prss32,NA,Med12l,Smagp,Atp2b4,Cbx7,Bmx,Cd320,RGD1304694,Sgms1
Prtg,NA,Megf9,Smo,Aurkb,Ccbl1,Bnc2,Cd38,RGD1304810,Sidt1
Ptms,NA,Mgmt,Sntb2,B3galnt1,Ccbl2,Bok,Cd4,RGD1305464,Slc12a3
Ptprn,NA,Mical2,Socs2,B3gnt2,Ccdc126,Bscl2,Cd5l,RGD1309079,Slc16a12
Ptprs,NA,Micalcl,Spry1,B4galt5,Ccdc152,Bspry,Cd81,RGD1311739,Slc17a2
Qdpr,NA,Mid1ip1,Srsf3,B4galt6,Ccdc28b,Btg3,Cda,RGD1565355,Slc25a22
Rab40b,NA,Mif,Sult1c2,Basp1,Ccl26,C2cd5,Cdc42bpg,Rnf11l1,Slc25a29
Rcan1,NA,Mk1,Sult1c2a,Batf,Ccl5,C5ar1,Cdip1,Rnpepl1,Slc25a33
Reep6,NA,Mocos,Sult1c3,Bbs7,Ccl6,Cacna1c,Cdo1,Rp1,Slc43a1
RGD1309534,NA,Mok,Sult2a1,Bcat1,Ccnf,Cacna2d1,Cebpb,Rpa1,Slc46a1
RGD1309676,NA,Msl3l2,Tacr1,Bcl10,Cd163,Cadm1,Cecr2,Rpia,Slc7a10
Rhob,NA,Mybl1,Tenm2,Bcl2,Cd19,Cadps,Cend1,S100a8,Slc9a7
Rhobtb1,NA,Mybl2,Terc,Bcl2a1,Cd22,Camk2d,Cep85l,S100a9,Spata25
Ripk4,NA,Mybph,Tfcp2,Bgn,Cd274,Camk2g,Ces1c,Scd2,Spice1
Rnf181,NA,Mycl,Tmem144,Bicc1,Cd302,Camkk2,Ces1d,Secisbp2l,Srsf4
Sardh,NA,Nme1,Tmem163,Bicd2,Cd5l,Cand2,Ces1e,Sgk2,Stac3
Scd1,NA,Nrg1,Tpst1,Bin1,Cd7,Cap2,Cfd,Slc39a4,Stag1
Sgcb,NA,Nuak1,Tspan12,Birc3,Cd74,Capg,Cfhr1,Slc7a5,Stim2
Shroom3,NA,Nudt7,Uap1l1,Birc5,Cd79b,Capn2,Cfp,Slco3a1,Stxbp5l
Slc10a2,NA,Nup62,Ush2a,Blnk,Cdip1,Capn5,Cgrrf1,Smtnl2,Sult1c2
Slc13a4,NA,Olr57,Wdsub1,Bmp7,Cdk2ap2,Car12,Chdh,Sntb1,Sult1c2a
Slc16a13,NA,Otub2,Wsb1,Bmper,Cdkn1c,Car13,Chrna5,Snx12,Syt2
Slc22a4,NA,P2rx5,Xbp1,Bok,Cdo1,Car2,Cib2,Sorcs2,Tcp1
Slc25a10,NA,Pak1,Xk,Bst1,Cebpa,Card10,Cited2,Spsb4,Tef
Slc2a5,NA,Paqr3,Zdhhc23,Btbd10,Cecr2,Cars,Cks1b,Srd5a1,Tgm1
Slc35d1,NA,Parp16,Zfp275,Btbd3,Celsr2,Casc4,Clcn2,Stx2,Thumpd1
Slc39a4,NA,Pax8,Zfp37,Btc,Cep295,Casp3,Cldn3,Stxbp1,Timeless
Slc41a2,NA,Pbk,NA,Btg1,Ces1c,Cass4,Clec1b,Sult2a6,Tmem144
Slco2a1,NA,Perp,NA,Btg2,Ces1d,Cav1,Clec2l,Sult4a1,Tmem163
Spink1,NA,Pex11a,NA,Btg3,Ces1e,Cbr1,Clec4f,Svil,Tppp
Spink3,NA,Pgam1,NA,Bub1b,Ces2e,Cbx3,Clec9a,Synj2,Tpst1
Spry4,NA,Pgd,NA,Bysl,Ces2h,Ccdc120,Clk4,Tcirg1,Ucma
Sri,NA,Pgk1,NA,C1qtnf5,Cfd,Ccdc146,Clmn,Tfpi,Ugt2b
St8sia3,NA,Pgpep1,NA,C1qtnf6,Cfhr1,Cchcr1,Cml2,Tjp3,Upp2
Stk40,NA,Pir,NA,C2cd5,Cfp,Ccl12,Cml5,Tlr1,Usp2
Stx2,NA,Plbd1,NA,C5ar1,Cgrrf1,Ccl2,Cndp1,Tm6sf2,Wdsub1
Sult1a1,NA,Plin2,NA,Cab39,Chac2,Ccl21,Cntfr,Tm7sf3,Wee1
Sult1b1,NA,Plin5,NA,Cables1,Chdh,Ccl3,Coch,Tmcc3,Xbp1
Tas1r1,NA,Plxna2,NA,Cacna1c,Chodl,Ccl4,Col13a1,Tmem140,Xk
Tcea3,NA,Pnpla5,NA,Cacnb1,Ciart,Ccl7,Col4a3,Tmem170a,Zdhhc1
Tecr,NA,Pnrc1,NA,Camk2d,Cideb,Ccne1,Colec10,Tmem176a,Zdhhc23
Thnsl2,NA,Ppp1r3b,NA,Capg,Ciita,Ccng1,Coq10b,Tmem176b,Zfp354a
Thrsp,NA,Ppp2r1b,NA,Capn1,Clcn2,Ccr1,Corin,Tmem179,Zfp37
Tjp3,NA,Prkca,NA,Capn2,Cldn3,Cd2,Cox7a2,Tmem252,NA
Tmem110,NA,Prkci,NA,Car13,Clec4f,Cd200,Cox7b,Tmem97,NA
Tmem25,NA,Psat1,NA,Car2,Clic2,Cd24,Cpamd8,Tmie,NA
Trpv6,NA,Ptk2b,NA,Card10,Clk4,Cd276,Cpq,Tnfrsf1b,NA
Tsc22d1,NA,Ptprt,NA,Cars,Clmn,Cd34,Cps1,Tnfrsf9,NA
Tsku,NA,Ralyl,NA,Casc5,Cmah,Cd36,Crebrf,Trim24,NA
Ttc21b,NA,Reep6,NA,Casp4,Cml1,Cd3d,Crem,Tspan14,NA
Ttc36,NA,RGD1305464,NA,Cass4,Cml2,Cd3e,Crp,Tspo,NA
Ttll3,NA,RGD1306151,NA,Cbfa2t3,Cml5,Cd40,Cry1,Ttc39a,NA
Ugt2b17,NA,RGD1309676,NA,Cblc,Cnr1,Cd44,Cryl1,Tubb2a,NA
Vangl1,NA,RGD1311756,NA,Ccdc112,Cntfr,Cd5,Crym,Tubb2b,NA
Vwce,NA,RGD1560010,NA,Ccdc120,Coch,Cd55,Csf1r,Ulk1,NA
Wdr6,NA,RGD1561849,NA,Ccdc19,Col4a3,Cd6,Csrnp3,Vsig10,NA
Wfdc21,NA,RGD1562136,NA,Ccdc64,Comt,Cd83,Ctbs,Wdr91,NA
NA,NA,RGD1565355,NA,Ccdc68,Cops5,Cd9,Ctla2a,Wfdc21,NA
NA,NA,RGD1565616,NA,Ccdc8,Coq10a,Cdc14a,Ctnnbip1,Ypel2,NA
NA,NA,Rgs16,NA,Ccdc92,Cox16,Cdc25a,Ctsa,Zfp385a,NA
NA,NA,Rgs7,NA,Cchcr1,Cox6c,Cdc42ep1,Ctsf,NA,NA
NA,NA,Rhob,NA,Ccl12,Cpamd8,Cdc42ep5,Ctss,NA,NA
NA,NA,Rnf11l1,NA,Ccl2,Cpb2,Cdc42se1,Cxcl12,NA,NA
NA,NA,Rp1,NA,Ccl21,Cpn1,Cdc42se2,Cyb5a,NA,NA
NA,NA,Rpa1,NA,Ccl3,Cpq,Cdc6,Cyb5d2,NA,NA
NA,NA,Rrm2b,NA,Ccl4,Cps1,Cdcp1,Cyb5r3,NA,NA
NA,NA,Rtn4,NA,Ccl7,Cr2,Cdh11,Cyp27a1,NA,NA
NA,NA,Scd1,NA,Ccna2,Creg1,Cdh13,Cyp2a2,NA,NA
NA,NA,Scly,NA,Ccne1,Crp,Cdh3,Cyp2b3,NA,NA
NA,NA,Sdr16c6,NA,Ccng1,Cry2,Cdh6,Cyp2c11,NA,NA
NA,NA,Sesn3,NA,Ccr1,Crym,Cdk14,Cyp2c13,NA,NA
NA,NA,Sh3bgrl2,NA,Ccrl2,Ctla2a,Cdkl2,Cyp2c23,NA,NA
NA,NA,Slc17a3,NA,Cd14,Ctnnd2,Cdkn2b,Cyp2d1,NA,NA
NA,NA,Slc25a47,NA,Cd151,Ctsa,Cdt1,Cyp2d2,NA,NA
NA,NA,Slc39a4,NA,Cd200,Ctsc,Ceacam20,Cyp2d3,NA,NA
NA,NA,Slc45a3,NA,Cd24,Ctse,Cel,Cyp2d4,NA,NA
NA,NA,Sntb1,NA,Cd276,Cxcl12,Cela1,Cyp2d5,NA,NA
NA,NA,Snx12,NA,Cd2ap,Cyb5a,Cela2a,Cyp2f4,NA,NA
NA,NA,Spsb4,NA,Cd300e,Cyp1a2,Cela3b,Cyp2j3,NA,NA
NA,NA,Sri,NA,Cd300lb,Cyp27a1,Celf5,Cyp2j4,NA,NA
NA,NA,Stk24,NA,Cd36,Cyp2b3,Cers5,Cyp2t1,NA,NA
NA,NA,Stx2,NA,Cd3eap,Cyp2c11,Ces2a,Cyp39a1,NA,NA
NA,NA,Stxbp1,NA,Cd44,Cyp2c23,Ces2c,Cyp3a18,NA,NA
NA,NA,Sult2a2,NA,Cd53,Cyp2c7,Ces2j,Cyp3a2,NA,NA
NA,NA,Sult2a6,NA,Cd55,Cyp2d1,Cfap52,Cyp3a23/3a1,NA,NA
NA,NA,Sult2b1,NA,Cd63,Cyp2d2,Cftr,Cyp3a9,NA,NA
