"","FPKM.L_32ko1","FPKM.L_32ko4","FPKM.L_32ko5","FPKM.L_32wt1","FPKM.L_32wt4","FPKM.L_32wt5","FPKM.L_48ko1","FPKM.L_48ko2","FPKM.L_48ko3","FPKM.L_48wt1","FPKM.L_48wt3","FPKM.L_48wt4"
"Crkl",7.98396407853717,8.70104226139089,11.4557650659472,9.43187239628297,10.5681058213429,9.87607274940048,10.2268672242206,9.40909489448441,9.20411067805755,8.45721609532374,9.13533263069544,11.7076159748201
"Crlf1",0,0.804930459352802,1.07195790686661,0.0996363409629045,0,0.0466829360694554,0.085104861878453,0.0264299668508287,0.0786579826361484,0,0.0814752833464878,0.0261732501973165
"Crlf2",2.35550604740061,6.50339573012232,5.66574696483181,2.85135444036697,3.06950994877676,4.48994771712538,3.5092761559633,4.56163298853211,4.5585952882263,3.69929903363914,3.18310405428135,3.86521016513761
"Crlf3",1.23728694871795,1.43385098076923,2.11265197435897,0.950111775641026,1.20459253846154,1.39535581410256,1.25094269230769,1.34415446153846,1.02286158974359,1.02401028205128,1.1902513525641,1.55754082692308
"Crls1",20.2527779451862,18.0833049107519,16.6935501335207,13.9160033506676,15.0936939423753,14.5519979198876,14.4937574082923,15.6829812565004,13.8945174476458,16.2742787013352,12.4511909768096,11.8946919465917
"Crmp1",0.0503005417024936,0.295008822871883,0.233871212381771,0.115217728288908,0.11856171711092,0.112082968185727,0.236872604471195,0.103177900257954,0.0837575597592433,0.207558559759243,0.185803667239897,0.246613363714531
"Crnkl1",1.56780733481294,1.99316333830057,1.88433581610653,1.5225668560558,1.5604676027267,1.58495365694356,1.37840279201015,1.45680794514902,1.25370736271401,1.39062129803424,1.85115676093849,1.69620378852251
"Crocc",0.711393865871833,1.392340585693,1.6288106780924,0.489466956780924,0.550368299552906,0.637493436661699,0.780351774962742,0.884819211624441,0.89058195976155,0.656433888226528,0.621500165424739,0.51196329657228
"Crot",394.361645968254,287.90402768254,409.769138285714,375.736231301587,110.040173460317,227.218369396825,279.203986920635,440.774365460317,314.064112,198.297824,185.608371619048,554.999758603175
"Crp",1230.18624643262,691.124783503546,469.624024755319,1046.10658825887,1482.83849652837,1657.90051704965,1565.07510351773,1547.56646179433,1430.87586922695,2010.88157974468,1433.94421137234,1418.14986242553
"Crtac1",0.108971402446127,0.0182996156086197,0,0,0,0,0.141279536400699,0.0857036924868957,0.320663070471753,0.088266821199767,0,0
"Crtam",0.0798609404761905,0.0305871285714286,0.0642699672619048,0,0,0,0.0229291041666667,0.0797321654761905,0.0325105773809524,0,0,0.0197393678571429
"Crtap",0.511493882725832,1.3819717274168,1.90380919175911,1.57520500792393,0.799657369255151,0.85252589540412,1.06176443740095,0.828233787638669,0.622598415213946,1.01507454833597,0.979621489698891,0.439301806656101
"Crtc1",1.34769837138728,2.19515599132948,2.98440933236994,2.06853927601156,1.9237110982659,1.73221445231214,2.06758365751445,1.76779300433526,2.14775348410405,2.45302982514451,2.24353326589595,1.98552812572254
"Crtc2",20.9112112266667,24.2144386266667,26.88961144,18.2524688,27.5778008266667,22.68488104,19.6897574133333,21.6646077733333,18.7597901466667,19.3354234266667,21.1485949066667,27.7010137333333
"Crx",0,0,0,0,0,0,0,0,0,0,0,0
"Cry1",5.60924878926141,1.59270932165364,1.84437984270229,1.21295731736829,4.91206944794555,4.36782630022687,1.32274555104613,1.38104197504411,1.23135888076632,1.41263424829846,2.9849253060247,1.35096904285354
"Cry2",33.3999387370213,31.161213773617,22.8429785940426,14.7095279625532,35.1945082519149,32.2326312621277,29.9791828204255,16.1252506655319,21.453441467234,26.2067954,40.2144277038298,28.8752393080851
"Cryaa",0,0,0.0317861065326633,0,0,0,0,0,0,0,0,0
"Cryab",1.45995938630491,10.4908467764858,12.3552505232558,2.56671948320413,2.74003074289406,1.40030180878553,3.98631966408269,2.55481933462532,1.86764842377261,3.1062190245478,1.87917319767442,6.64915820413437
"Cryba1",0.675929115328467,0.270500005839416,0.612001235036496,0.137306470072993,0.225692750364964,0.0971658131386861,0.295940312408759,0.179778166423358,0.343998367883212,0.466266639416058,0.234679059854015,0.380463372262774
"Cryba2",0,0,0,0,0,0,0,0,0,0,0,0
"Cryba4",0,0.0305666244897959,0.129089846938776,0,0,0.034246812244898,0,0,0.0399458367346939,0.100278732653061,0,0
"Crybb1",0,0,0,0,0,0,0,0,0.024641912568306,0,0,0
"Crybb2",0,0,0,0,0,0,0,0,0,0,0,0
"Crybb3",0,0,0,0,0,0,0,0,0,0,0,0
"Cryga",0,0,0,0.0506044984025559,0,0,0,0,0,0,0,0
"Crygb",0,0,0,0,0,0,0,0,0,0,0,0
