NAME	W48_WT1	W48_WT2	W48_WT3	W48_KO1	W48_KO2	W48_KO3
CARD10	9.330602005	9.573662486	8.930919258	9.758183285	9.143630147	9.362420523
CARD6	10.73130691	11.01540858	10.78862609	10.61052967	10.60999554	10.46515678
CARD9	5.91547557	6.113587418	5.399130562	6.052881764	5.642846879	6.062671329
CARF	7.081038174	7.490877007	7.140328449	7.315704457	7.12826046	7.090369395
CARHSP1	11.61048051	11.11360002	11.65980181	11.98349567	12.1346796	12.00516984
CARKD	9.690720234	9.358744125	9.328194643	9.377685555	9.648227545	9.6211474
CARM1	9.137559971	9.019655115	9.14435622	8.884146826	8.979111702	9.033809292
CARS	9.525161539	9.324253942	9.243566285	9.922390679	10.2539995	10.32677765
CARS2	8.646836693	8.724047118	8.627873413	8.352264133	8.635597293	8.62078624
CASC1	5.619367853	6.217472391	5.732951983	5.653314354	5.553580857	5.462583347
CASC3	9.35301256	9.291301753	9.149016902	9.128453624	9.25400034	9.007204988
CASC4	4.615842859	4.29363612	4.271319905	5.362869864	5.128282538	4.494934861
CASC5	5.016095032	5.176133828	5.919087341	6.405045516	6.265770005	6.426186554
CASK	8.884185587	9.062134772	9.518502422	9.071145029	8.932662846	9.110799459
CASKIN1	4.85793649	4.690164567	4.049978903	5.049679809	5.320923936	4.244640628
CASKIN2	9.239982033	9.240417776	9.26948008	9.236662684	9.476729796	9.695933406
CASP1	7.701780385	7.539795692	7.140328449	7.883697351	7.740441885	7.902232625
CASP12	8.498364482	5.93004528	7.997276148	8.669249353	8.316385928	8.685138721
CASP2	7.91762453	8.019560665	8.038048468	8.004623992	7.850723586	7.902232625
